STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 20 February, 2020",,27.2,11.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 21 February, 2020",,26.7,14.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 22 February, 2020",,18.9,15
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 23 February, 2020",,20,11.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 24 February, 2020",,21.7,11.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 25 February, 2020",,28.3,11.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 26 February, 2020",,27.2,11.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 27 February, 2020",,30,13.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 28 February, 2020",,31.1,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 29 February, 2020",,22.8,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 1 March, 2020",,17.2,12.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 2 March, 2020",,23.3,10
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 3 March, 2020",,27.8,13.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 4 March, 2020",,23.9,14.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 5 March, 2020",,23.9,14.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 6 March, 2020",,22.2,13.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 7 March, 2020",,19.4,13.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 8 March, 2020",,19.4,11.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 9 March, 2020",,23.9,11.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 10 March, 2020",,19.4,15
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 11 March, 2020",,22.8,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 12 March, 2020",,17.8,13.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 13 March, 2020",,15.6,12.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 14 March, 2020",,16.1,13.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 15 March, 2020",,18.3,12.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 16 March, 2020",,18.3,11.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 17 March, 2020",,17.2,8.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 18 March, 2020",,18.3,8.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 19 March, 2020",,17.8,10.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 20 March, 2020",,18.9,12.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 21 March, 2020",,20.6,12.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 22 March, 2020",,23.3,11.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 23 March, 2020",,19.4,12.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 24 March, 2020",,18.9,11.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 25 March, 2020",,18.9,12.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 26 March, 2020",,17.8,9.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 27 March, 2020",,19.4,10
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 28 March, 2020",,20,12.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 29 March, 2020",,20.6,12.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 30 March, 2020",,23.9,12.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 31 March, 2020",,25.6,13.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 1 April, 2020",,23.9,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 2 April, 2020",,22.2,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 3 April, 2020",,21.7,13.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 4 April, 2020",,21.1,13.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 5 April, 2020",,18.3,13.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 6 April, 2020",,17.8,13.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 7 April, 2020",,19.4,11.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 8 April, 2020",,17.8,11.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 9 April, 2020",,13.9,11.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 10 April, 2020",,19.4,10.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 11 April, 2020",,22.8,11.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 12 April, 2020",,17.2,14.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 13 April, 2020",,19.4,13.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 14 April, 2020",,23.3,11.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 15 April, 2020",,28.3,13.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 16 April, 2020",,25.6,14.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 17 April, 2020",,21.7,15
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 18 April, 2020",,20.6,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 19 April, 2020",,21.1,15
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 20 April, 2020",,20.6,15
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 21 April, 2020",,23.3,14.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 22 April, 2020",,27.8,14.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 23 April, 2020",,33.3,18.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 24 April, 2020",,33.9,18.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 25 April, 2020",,33.9,20.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 26 April, 2020",,31.1,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 27 April, 2020",,27.2,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 28 April, 2020",,29.4,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 29 April, 2020",,26.1,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 30 April, 2020",,24.4,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 1 May, 2020",,26.1,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 2 May, 2020",,26.1,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 3 May, 2020",,25,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 4 May, 2020",,28.3,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 5 May, 2020",,31.7,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 6 May, 2020",,33.3,18.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 7 May, 2020",,35,20
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 8 May, 2020",,31.7,18.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 9 May, 2020",,26.1,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 10 May, 2020",,24.4,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 11 May, 2020",,23.9,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 12 May, 2020",,22.8,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 13 May, 2020",,23.9,15
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 14 May, 2020",,25,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 15 May, 2020",,26.7,18.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 16 May, 2020",,27.8,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 17 May, 2020",,28.3,18.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 18 May, 2020",,23.9,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 19 May, 2020",,22.8,13.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 20 May, 2020",,25,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 21 May, 2020",,26.7,15
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 22 May, 2020",,26.1,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 23 May, 2020",,23.9,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 24 May, 2020",,26.1,14.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 25 May, 2020",,25,15
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 26 May, 2020",,27.8,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 27 May, 2020",,27.2,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 28 May, 2020",,23.9,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 29 May, 2020",,22.8,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 30 May, 2020",,23.9,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 31 May, 2020",,23.9,15
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 1 June, 2020",,27.2,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 2 June, 2020",,28.3,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 3 June, 2020",,32.8,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 4 June, 2020",,26.1,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 5 June, 2020",,22.8,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 6 June, 2020",,23.3,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 7 June, 2020",,25,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 8 June, 2020",,31.1,18.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 9 June, 2020",,36.7,18.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 10 June, 2020",,36.7,19.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 11 June, 2020",,32.8,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 12 June, 2020",,26.1,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 13 June, 2020",,25,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 14 June, 2020",,26.7,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 15 June, 2020",,26.7,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 16 June, 2020",,24.4,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 17 June, 2020",,23.9,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 18 June, 2020",,22.8,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 19 June, 2020",,24.4,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 20 June, 2020",,22.2,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 21 June, 2020",,24.4,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 22 June, 2020",,26.7,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 23 June, 2020",,25.6,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 24 June, 2020",,26.1,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 25 June, 2020",,25.6,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 26 June, 2020",,24.4,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 27 June, 2020",,25,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 28 June, 2020",,22.2,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 29 June, 2020",,23.3,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 30 June, 2020",,23.9,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 1 July, 2020",,24.4,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 2 July, 2020",,26.1,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 3 July, 2020",,27.2,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 4 July, 2020",,29.4,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 5 July, 2020",,32.8,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 6 July, 2020",,30.6,18.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 7 July, 2020",,28.9,18.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 8 July, 2020",,28.9,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 9 July, 2020",,28.3,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 10 July, 2020",,30,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 11 July, 2020",,32.2,18.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 12 July, 2020",,33.3,20
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 13 July, 2020",,29.4,18.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 14 July, 2020",,27.2,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 15 July, 2020",,26.7,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 16 July, 2020",,26.1,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 17 July, 2020",,25.6,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 18 July, 2020",,25,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 19 July, 2020",,26.7,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 20 July, 2020",,26.1,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 21 July, 2020",,27.2,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 22 July, 2020",,23.3,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 23 July, 2020",,24.4,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 24 July, 2020",,26.1,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 25 July, 2020",,26.7,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 26 July, 2020",,25,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 27 July, 2020",,23.9,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 28 July, 2020",,25,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 29 July, 2020",,25.6,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 30 July, 2020",,28.3,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 31 July, 2020",,31.7,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 1 August, 2020",,32.8,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 2 August, 2020",,31.1,18.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 3 August, 2020",,28.9,19.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 4 August, 2020",,26.1,19.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 5 August, 2020",,25.6,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 6 August, 2020",,26.7,18.3
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 7 August, 2020",,26.7,17.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 8 August, 2020",,27.2,17.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 9 August, 2020",,26.7,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Monday, 10 August, 2020",,25.6,16.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Tuesday, 11 August, 2020",,25,16.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Wednesday, 12 August, 2020",,30,15.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Thursday, 13 August, 2020",,31.1,18.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Friday, 14 August, 2020",,33.9,21.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Saturday, 15 August, 2020",,36.7,22.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US","Sunday, 16 August, 2020",,35,22.8
